session,project_code,session_message,session_note,event_date,event_date_(pst),event_site,life_stage,brood_year,migration_year,spawn_year,release_site,rkm_mask,rkm_ext,release_temp,release_date,release_date_(pst),tagger,organization,capture_method,mark_method,mark_temp,hold_temp,file_title,species,hatchery_site,run,stock,rearing_type,raceway/transect,close_date
NA,SA,NA,NA,8/23/1989 14:11,NA,BEARVC,NA,88,90,NA,BEARVC,522.303.319,170,NA,8/24/1989 16:15,NA,ACHORD S,NMFS,BSEINE,AUTO,10,NA,SA89235.BC3,NA,NA,NA,NA,NA,NA,8/23/1989 15:45
NA,SA,NA,COLLECTED 08/01/90,8/2/1990 7:35,NA,BEARVC,NA,89,91,NA,BEARVC,522.303.319.170,8,16,8/2/1990 11:30,NA,STEVE ACHORD,NMFS,SHOCK,AUTO,13.5,NA,SA90214.BV1,1,NA,1,NA,W,,8/2/1990 8:25
NA,SA,NA,NA,8/16/1989 7:11,NA,BEARVC,NA,88,90,NA,BEARVC,522.303.319.170,9,11.5,8/16/1989 10:15,NA,STEVE ACHORD,NMFS,BSEINE,AUTO,10,NA,SA89228.BV1,1,NA,1,NA,W,NA,8/16/1989 8:05
NA,SA,NA,NA,7/29/1992 9:37,NA,BEARVC,NA,91,93,NA,BEARVC,522.303.319.170,9,NA,7/30/1992 9:35,NA,ACHORD S,NMFS,SHOCK,HAND,13,15.5,SA92211.BV1,1,,1,,W,,7/29/1992 12:18
NA,SA,NA,NA,7/28/1993 10:15,NA,BEARVC,NA,92,94,NA,BEARVC,522.303.319.170,9,NA,7/29/1993 6:30,NA,ACHORD S,NMFS,SHOCK,HAND,11,11.5,SA93209.BV1,1,,1,,W,,7/28/1993 10:57
NA,SA,NA,NA,7/27/1994 7:39,NA,BEARVC,NA,93,95,NA,BEARVC,522.303.319.170,9,NA,7/27/1994 9:30,NA,ACHORD S,NMFS,SHOCK,HAND,15.5,NA,SA94208.BV1,1,,1,,W,,7/27/1994 8:16
NA,SA,NA,NA,8/18/1997 9:24,NA,BEARVC,NA,96,98,NA,BEARVC,522.303.319.170,9,NA,8/19/1997 6:45,NA,MCINTYRE K,NMFS,SHOCK,HAND,11,13,SA97230.BV1,NA,NA,NA,NA,NA,NA,8/18/1997 12:04
NA,AAB,NA,NA,7/25/2001 8:49,NA,BEARVC,NA,0,2,NA,BEARVC,522.303.319.170,9,NA,7/25/2001 11:00,NA,Hodge J,IDFG,SHOCK,HAND,15,16,AAB01206.BV1,NA,,NA,,NA,,7/25/2001 9:04
NA,SA,NA,NA,7/25/2001 7:05,NA,BEARVC,NA,0,2,NA,BEARVC,522.303.319.170,9,NA,7/26/2001 5:50,NA,Hodge J,NMFS,SHOCK,HAND,15,16,SA01206.BV1,NA,,NA,,NA,,7/25/2001 8:49
NA,SA,NA,NA,7/23/2002 10:18,NA,BEARVC,NA,1,3,NA,BEARVC,522.303.319.170,9,NA,7/24/2002 6:00,NA,ACHORD S,NMFS,BSEINE,HAND,13.5,13.5,SA02204.BV1,NA,,NA,,NA,,7/23/2002 10:24
NA,SA,NA,NA,7/22/2003 5:43,NA,BEARVC,NA,2,4,NA,BEARVC,522.303.319.170,9,NA,7/23/2003 4:00,NA,ACHORD S,NMFS,BSEINE,HAND,14,14,SA03203.BV1,NA,,NA,,NA,,7/22/2003 9:20
