Old,New
BEAR VALLEY,BEARVC
BEAR VALLEY CR.,BEARVC
BEARVC,BEARVC
BIG CREEK,BIG2C
BIG2C,BIG2C
BIGC,BIGC
CAMASC,CAMASC
CAPE HORN CR.,CAPEHC
CAPEHC,CAPEHC
CHAMBC,CHAMBC
CHAMWF,CHAMWF
EAST FORK SALMON,SALREF
ELK CR,ELKC
ELKC,ELKC
HERDC,HERDC
KNOXB,SALRSF
LAKEC,LAKEC
LOONC,LOONC
MARSH CR,MARSHC
MARSHC,MARSHC
RUSHC,RUSHC
SALREF,SALREF
SALRSF,SALRSF
SALRSF ,SALRSF
SECESH R,SECESR
SECESR,SECESR
SOUTH FORK SALMON R.,SALRSF
SUL,SULFUC
SULFUC,SULFUC
SULFUR,SULFUC
VALEYC,VALEYC
VALLEY CR,VALEYC
